address,home,birth
0,0,0
1,1,1
0,2,2
1,3,3
0,4,4
0,5,5
0,6,6
2,7,7
0,8,7
0,9,8
0,10,9
0,11,10
3,12,11
0,7,12
0,13,13
4,14,14
0,15,15
0,8,16
1,16,17
0,17,18
0,8,3
0,18,19
0,8,3
0,6,20
5,10,21
1,8,3
0,19,22
0,20,23
0,21,24
0,22,25
0,8,3
0,23,-1
6,24,26
0,25,27
0,2,2
1,26,28
0,1,29
7,27,30
0,3,31
2,22,32
0,9,33
1,28,34
0,29,35
0,3,36
0,8,3
0,30,37
0,31,38
0,19,39
0,32,8
0,3,31
0,31,36
0,33,40
1,34,41
0,19,42
0,35,3
8,36,43
0,27,44
0,37,45
0,8,3
0,38,31
9,39,46
0,40,47
0,8,23
0,19,48
0,41,3
6,42,-1
0,2,49
0,20,23
0,43,50
0,44,4
0,45,21
1,46,-1
10,47,51
5,10,21
3,19,7
1,48,52
3,19,39
3,14,53
0,3,31
0,26,54
0,8,31
0,8,32
0,45,55
3,1,29
0,3,1
0,33,56
0,49,36
