text,count
!,14
!!,1
!!!,2
#neverleaving,1
'h',1
1891,1
1911,1
2,1
2015,5
3,1
4th,1
:),11
;),1
about,1
absolutely,1
actually,1
advance,1
again,3
ago,1
all,2
allen,1
almost,1
also,1
am,7
amazing,2
année,1
any,1
are,4
around,2
article,2
as,3
at,2
attract,1
away,3
awesome,5
back,8
backyard,1
baking,1
be,12
beaucoup,1
beautiful,1
become,1
before,4
begun,1
being,3
bell,1
best,5
better,3
blog,1
bonne,1
boss,1
brain,1
bud,1
burgers,1
buried,1
burning,1
but,2
butterfly,1
cake,1
California,1
called,1
can,6
candy,1
career,1
case,2
cereal,1
chance,1
cheese,1
chef,1
choose,1
chuck,1
city,2
clearly,1
collider,1
comes,1
completely,1
cookies,1
cool,2
couldn't,1
crazy,1
cream,1
criticism,1
cross,1
currently,1
dancer,1
dancing,1
data,2
day,6
days,2
DDR,1
decency,1
degree,1
design,1
desserts,1
devious,1
did,1
didn't,1
digging,1
dive,1
diving,1
do,1
doesn't,1
dog,1
doing,2
don't,2
dota,1
dreams,1
driven,1
dude,1
eat,1
else,1
elsewhere,1
et,1
etc,1
every,1
everyone,1
example,2
excitement,1
excuse,1
exercise,1
eye,1
Eyeo,1
fact,8
favorite,2
FB,1
feel,1
few,3
figured,1
Fiji,1
first,6
flowers,1
follow,3
food,1
found,1
friend,2
friends,1
friendship,1
from,5
fuckin,1
fun,1
game,1
get,7
girl,1
girlfriend,2
glad,1
glasses,1
go,4
going,1
good,6
got,2
gown,1
grateful,1
great,6
grow,1
growing,1
guy,1
hackathon,1
hadron,1
half,3
half-marathon,1
hand,2
hang,1
happy,6
has,1
hate,1
have,12
haven't,1
having,1
hawaiian,1
head,1
hear,1
hey,1
hi,1
high,2
holes,1
home,2
hope,5
hoping,1
hospital,1
house,1
how,1
human,1
I,55
I'm,4
I've,1
ice,1
identity,1
if,1
incredibly,1
insects,1
inspiring,1
interesting,1
island,1
jelly-bean,1
jerome,4
job,1
joy,1
just,4
keep,1
keeping,1
key,1
kid,1
killed,1
kind,1
kinda,2
kindness,1
know,5
known,1
kool-aid,1
la,1
lamp,1
landlocked,1
large,1
left,2
life,4
light,1
like,4
line,1
listening,1
little,1
lived,1
london,1
look,1
lot,1
love,5
lucky,1
machine,1
making,2
man,5
manipulate,1
mars,1
me,2
merci,1
met,1
middle,1
miss,5
moose,1
more,1
movie,2
moving,1
mpk,1
muscles,1
music,2
my,14
n,1
name,2
nearly,1
need,1
never,2
new,9
next,1
no,1
noise,1
not,4
obsessed,1
ocean,1
often,1
ok,1
old,1
once,2
one,3
only,5
or,2
other,3
our,4
outdoors,1
outside,1
pairs,1
parabola,1
pasttime,1
paths,1
people,1
pet,1
phone,2
pittsburgh,1
pizza,2
planet,1
plot,1
pool,1
powers,1
pretty,1
professional,1
projects,1
quality,2
radiate,1
rather,1
really,4
regardless,1
regret,1
ridiculous,1
right,2
rock,1
ruby,1
run,4
same,3
saw,1
say,4
scissors,1
score,1
scuba,1
seaweed,1
see,4
seeing,1
seriously,1
setting,1
several,1
shaped,1
smile,1
so,3
some,1
soon,1
soul,1
space-time,1
spelled,1
stardust,1
starting,1
stay,2
steal,1
straight,1
stuck,1
stuff,1
sudden,2
sunrise,1
superhuman,1
sure,1
sweets,1
swimming,2
switch,1
Switzerland,1
t-shirt,1
take,1
tenderness,1
terrified,1
than,1
thank,1
thanks,2
that,9
there,1
these,1
thing,6
things,1
think,2
this,7
those,1
thoughtful,1
three,1
throw,1
time,5
tiny,1
together,1
too,1
truly,1
trying,1
turn,1
two,1
type,1
ummmmm,1
uncommonly,1
until,1
up,3
upset,1
us,1
used,2
version,1
very,1
viz,1
void,1
want,2
wanted,1
was,10
washing,1
way,5
we,2
wear,1
weeks,3
what,1
when,3
whether,1
while,1
whilst,1
who,2
wisdom,1
wish,1
with,6
without,1
woman,1
won't,1
woody,1
work,4
world,1
would,4
write,1
writing,1
ya,1
year,13
years,1
yet,2
you,18
you're,3
your,3
謝謝你🙏,1
